Air Conditioner,Split AC where x = Tonnage & y= Star Rating,,,,,,,,,,,,,
Type,x2y,xy,y,x,Constant,,,,,,,,,
Split AC,41.1,-177.1,92.07,1341.4,20.89,,,,,,,,,
Window AC,-29.045,-7.2987,16.588,1425.5,-15.243,,,,,,,,,
,,,,,,,,,,,,,,
Refrigerator, where x=Star Rating & y= Storage Volume,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Type,x2y,xy,y,x,Constant,,,,,,,,,
Frost Free,-0.0681,0.5341,-0.4721,-88.02,688.75,,,,,,,,,
Direct Cool,-0.0968,0.6628,-0.8069,-52.84,492.35,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ceiling Fan,,,,,,,,,,,,,,
Intent,m,c,,,,,,,,,,,,
Power Conumption,-4.9767,74.478,,,,,,,,,,,,
Price Calculation,271,1326,,,,,,,,,,,,
"Normal Fan, Price (Rs/Watt)",18.72,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Water Heater,,,,,,,,,,,,,,
"x= Star Rating, Y=Volume of Water Tank",,,,,,,,,,,,,,
Energy Consumption,x2y,xy,y,x,Constant,,,,,,,,,
Water Heater,0.4857,-7.0992,32.479,-57.775,761.51,,,,,,,,,
,,,,,,,,,,,,,,
Television,,,,,,,,,,,,,,
Type,m,c,,,,,,,,,,,,
Direct Cool - (200L - 250L) - 2 Star,226.54,,,,,,,,,,,,,
Direct Cool - (200L - 250L) - 1 Star,226.54,,,,,,,,,,,,,
Frost Free - (200L - 250L) - 5 Star,240.00,,,,,,,,,,,,,
Frost Free - (200L - 250L) - 4 Star,239.56,,,,,,,,,,,,,
Frost Free - (200L - 250L) - 3 Star,231.91,,,,,,,,,,,,,
Frost Free - (200L - 250L) - 2 Star,235.00,,,,,,,,,,,,,
Frost Free - (200L - 250L) - 1 Star,235.00,,,,,,,,,,,,,
Direct Cool - (250L - 300L) - 5 Star,265.00,,,,,,,,,,,,,
Direct Cool - (250L - 300L) - 4 Star,265.00,,,,,,,,,,,,,
Direct Cool - (250L - 300L) - 3 Star,265.00,,,,,,,,,,,,,
Direct Cool - (250L - 300L) - 2 Star,265.00,,,,,,,,,,,,,
Direct Cool - (250L - 300L) - 1 Star,265.00,,,,,,,,,,,,,
Frost Free - (250L - 300L) - 5 Star,280.00,,,,,,,,,,,,,
Frost Free - (250L - 300L) - 4 Star,273.87,,,,,,,,,,,,,
Frost Free - (250L - 300L) - 3 Star,295.00,,,,,,,,,,,,,
Frost Free - (250L - 300L) - 2 Star,275.00,,,,,,,,,,,,,
Frost Free - (250L - 300L) - 1 Star,275.00,,,,,,,,,,,,,
Frost Free - (300L - 350L) - 5 Star,327.50,,,,,,,,,,,,,
Frost Free - (300L - 350L) - 4 Star,331.83,,,,,,,,,,,,,
Frost Free - (300L - 350L) - 3 Star,327.50,,,,,,,,,,,,,
Forst Free - (300L - 350L) - 2 Star,328.94,,,,,,,,,,,,,
Forst Free - (300L - 350L) - 1 Star,328.94,,,,,,,,,,,,,
Frost Free - (350L - 400L) - 5 Star,382.76,,,,,,,,,,,,,
Frost Free - (350L - 400L) - 4 Star,385.53,,,,,,,,,,,,,
Frost Free - (350L - 400L) - 3 Star,380.00,,,,,,,,,,,,,
Frost Free - (350L - 400L) - 2 Star,382.76,,,,,,,,,,,,,
Frost Free - (350L - 400L) - 1 Star,382.76,,,,,,,,,,,,,
Frost Free - (400L - 450L) - 5 Star,423.33,,,,,,,,,,,,,
Frost Free - (400L - 450L) - 4 Star,424.66,,,,,,,,,,,,,
Frost Free - (400L - 450L) - 3 Star,422.00,,,,,,,,,,,,,
Frost Free - (400L - 450L) - 2 Star,423.33,,,,,,,,,,,,,
Frost Free - (400L - 450L) - 1 Star,423.33,,,,,,,,,,,,,
Frost Free - (450L - 500L) - 5 Star,473.25,,,,,,,,,,,,,
Frost Free - (450L - 500L) - 4 Star,469.50,,,,,,,,,,,,,
Frost Free - (450L - 500L) - 3 Star,477.00,,,,,,,,,,,,,
Frost Free - (450L - 500L) - 2 Star,473.25,,,,,,,,,,,,,
Frost Free - (450L - 500L) - 1 Star,473.25,,,,,,,,,,,,,
Frost Free - (500L - 550L) - 5 Star,550.75,,,,,,,,,,,,,
Frost Free - (500L - 550L) - 4 Star,550.75,,,,,,,,,,,,,
Frost Free - (500L - 550L) - 3 Star,550.75,,,,,,,,,,,,,
Frost Free - (500L - 550L) - 2 Star,550.75,,,,,,,,,,,,,
Frost Free - (500L - 550L) - 1 Star,550.75,,,,,,,,,,,,,
